direction,influence_type,source_id,source_name,source_display_name,source_type,source_genre,source_year,target_id,target_name,target_display_name,target_type,target_genre,target_year
Sailor -> Other,InterpolatesFrom,17287,Moon Over the Tide,Moon Over the Tide,Song,Oceanus Folk,2034,11254,Divergent Memories,Divergent Memories,Song,Indie Folk,2017
Sailor -> Other,InStyleOf,17289,Barnacle Heart,Barnacle Heart,Song,Oceanus Folk,2034,5574,Our Inevitable Path,Our Inevitable Path,Song,Indie Folk,2017
Sailor -> Other,LyricalReferenceTo,17287,Moon Over the Tide,Moon Over the Tide,Song,Oceanus Folk,2034,13589,Silent Steps in the Forest's Embrace,Silent Steps in the Forest's Embrace,Song,Avant-Garde Folk,2023
Sailor -> Other,InStyleOf,17290,Fog & Fiddle,Fog & Fiddle,Song,Oceanus Folk,2036,12237,Provence Aria,Provence Aria,Song,Indie Rock,2023
Sailor -> Other,InterpolatesFrom,17290,Fog & Fiddle,Fog & Fiddle,Song,Oceanus Folk,2036,12685,Coastal Whispers of Biscay,Coastal Whispers of Biscay,Song,Alternative Rock,2031
Sailor -> Other,InterpolatesFrom,17049,Electric Reverie,Electric Reverie,Album,Oceanus Folk,2038,7026,Reflejo Interior,Reflejo Interior,Song,Americana,1983
Sailor -> Other,InStyleOf,17292,Stormsong,Stormsong,Song,Oceanus Folk,2038,6592,When the Bar Lights Go Up,When the Bar Lights Go Up,Song,Emo/Pop Punk,2000
Sailor -> Other,LyricalReferenceTo,17277,Oceanbound,Oceanbound,Album,Oceanus Folk,2038,876,Bold Without Apology,Bold Without Apology,Song,Indie Rock,2010
Sailor -> Other,LyricalReferenceTo,17277,Oceanbound,Oceanbound,Album,Oceanus Folk,2038,3986,Altitude of Mistakes,Altitude of Mistakes,Song,Americana,2015
Sailor -> Other,InStyleOf,17049,Electric Reverie,Electric Reverie,Album,Oceanus Folk,2038,14107,Folklore's Heartbeat,Folklore's Heartbeat,Song,Blues Rock,2020
Sailor -> Other,DirectlySamples,17292,Stormsong,Stormsong,Song,Oceanus Folk,2038,13014,Exoskeleton Dissolve,Exoskeleton Dissolve,Song,Indie Rock,2020
Sailor -> Other,DirectlySamples,17255,Sailor Shift,Sailor Shift,Person,,,17260,Ivy Echos,Ivy Echos,MusicalGroup,,
Sailor -> Other,InStyleOf,17255,Sailor Shift,Sailor Shift,Person,,,17299,The Saltwater Weavers,The Saltwater Weavers,MusicalGroup,,
Sailor -> Other,LyricalReferenceTo,17255,Sailor Shift,Sailor Shift,Person,,,17327,Drowned Harbor,Drowned Harbor,MusicalGroup,,
Sailor -> Other,InStyleOf,17255,Sailor Shift,Sailor Shift,Person,,,17192,The Fiddle & The Fjord,The Fiddle & The Fjord,MusicalGroup,,
